Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,C_0402_1005Metric,183.7,-101.3,-90.0,top
C10,1u,C_0402_1005Metric,187.2,-87.68,0.0,top
C11,2.2uF,C_0603_1608Metric,174.09,-75.582,180.0,top
C12,1uF,C_0402_1005Metric,197.739,-74.704,-90.0,top
C13,1u,C_0402_1005Metric,202.2,-73.2,0.0,top
C14,1u,C_0402_1005Metric,188.7,-88.1,-90.0,top
C15,1uF,C_0402_1005Metric,196.342,-74.648,-90.0,top
C16,4.7u,C_0603_1608Metric,202.6,-69.9,180.0,top
C17,4.7u,C_0603_1608Metric,191.76,-101.2,0.0,top
C18,4.7uF,C_0603_1608Metric,202.78,-74.5,0.0,top
C19,5p,C_0402_1005Metric,177.42,-99.93,90.0,top
C2,100n,C_0402_1005Metric,182.0,-88.18,90.0,top
C20,5p,C_0402_1005Metric,182.7,-101.3,-90.0,top
C21,4.7uF,C_0603_1608Metric,174.09,-77.343,0.0,top
C22,100n,C_0402_1005Metric,202.5,-78.3,0.0,top
C23,100n,C_0402_1005Metric,183.0,-88.18,90.0,top
C3,100n,C_0402_1005Metric,187.2,-88.68,0.0,top
C4,100n,C_0402_1005Metric,177.22,-98.54,180.0,top
C5,100n,C_0402_1005Metric,179.6,-84.5,180.0,top
C6,100n,C_0402_1005Metric,179.6,-85.5,180.0,top
C7,100n,C_0402_1005Metric,184.76,-101.29,-90.0,top
C8,100n,C_0402_1005Metric,185.7,-88.18,90.0,top
C9,1u,C_0402_1005Metric,184.7,-88.18,90.0,top
Card1,TF-01A,TF-SMD_TF-01A,194.675,-91.823,90.0,top
D2,B5819WS,D_SOD-323,202.6775,-71.6,180.0,top
D3,B5819WS,D_SOD-323,194.9,-101.0,180.0,top
D4,1N4148WT,D_SOD-523,202.0,-76.5,90.0,top
DS1,OLED-128O064D,GC_OLED_096,188.443,-72.39,180.0,bottom
J3,USB_C_Receptacle_USB2.0,USB_C_Receptacle_HRO_TYPE-C-31-M-12,188.4,-60.438,180.0,top
R10,1k,R_0402_1005Metric,183.1,-99.9,180.0,top
R11,22,R_0402_1005Metric,185.76,-101.29,90.0,top
R12,220,R_0402_1005Metric,186.76,-101.29,90.0,top
R13,220,R_0402_1005Metric,187.76,-101.29,90.0,top
R14,220,R_0402_1005Metric,189.76,-101.29,90.0,top
R15,390K,R_0402_1005Metric,174.625,-78.867,0.0,top
R16,22,R_0402_1005Metric,188.76,-101.29,90.0,top
R17,1k,R_0402_1005Metric,176.9,-84.9,180.0,top
R18,0,R_0402_1005Metric,197.56,-101.49,180.0,top
R2,5.1k,R_0402_1005Metric,195.7,-64.22,-90.0,top
R3,5.1k,R_0402_1005Metric,181.8,-62.12,0.0,top
R4,22,R_0402_1005Metric,183.1,-84.9,-90.0,top
R5,22,R_0402_1005Metric,184.1,-84.9,-90.0,top
R6,4.7K,R_0402_1005Metric,203.2,-76.4,90.0,top
R7,4.7K,R_0402_1005Metric,182.0,-84.9,90.0,top
R8,4.7K,R_0402_1005Metric,181.0,-84.9,90.0,top
R9,10k,R_0402_1005Metric,197.56,-100.49,0.0,top
SW1,USER1,SW-SMD_TS24CA,199.8,-61.425,0.0,top
SW2,USER2,SW-SMD_TS24CA,177.0,-61.425,0.0,top
SW3,USER,SW-SMD_TS24CA,174.425,-86.3,90.0,top
U2,XC6206P332MR,SOT-23,186.9,-85.2,90.0,top
U3,RP2040,RP2040-QFN-56,182.93,-94.152,0.0,top
U4,LY68L6400SLIT,SOIC-8_3.9x4.9mm_P1.27mm,175.23,-93.992,90.0,top
U5,W25Q16JVUXIQ,USON-8_2x3mm_P0.5mm,178.9,-87.2,0.0,top
Y1,12 Mhz,Crystal_SMD_3225-4Pin_3.2x2.5mm,180.05,-100.7,180.0,top
